khasra_no,village,project,stage,sec_11_date,days_elapsed_sec11,statutory_days_left,unpartitioned_khata,court_stay,forest_clearance,circle_to_market_ratio,disbursement_pct,delay_days,risk_tier,status_color
KH-754/2,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-08-25,129,236,0,1,Approved,0.5,0.0,277,Critical,red
KH-704/7,Rampur,NH-44 Expansion,Section 11 (Notice),2024-08-28,126,239,0,0,Not Required,0.56,0.0,91,High,red
KH-325/8,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2023-11-25,403,-38,0,0,Approved,0.96,0.0,7,Low,green
KH-259/4,Shahpur,Dedicated Freight Corridor,Section 11 (Notice),2024-10-31,62,303,1,0,Pending,0.67,0.0,243,Critical,red
KH-144/8,Sultanpur,NH-44 Expansion,Award Enquiry,2024-11-07,55,310,1,0,Not Required,0.79,34.0,184,Critical,red
KH-296/2,Rampur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-11-07,55,310,0,0,Approved,1.0,86.3,0,Low,green
KH-954/6,Kalyanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-09-01,122,243,0,0,Approved,0.87,75.6,5,Low,green
KH-750/3,Sultanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-04-25,251,114,0,0,Not Required,0.67,0.0,4,Low,green
KH-963/1,Kalyanpur,NH-44 Expansion,Section 19 (Declaration),2024-05-26,220,145,0,0,Not Required,0.59,43.7,95,High,red
KH-771/8,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-08-04,150,215,0,0,Not Required,0.5,0.0,83,Medium,yellow
KH-538/7,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-04-01,275,90,0,0,Not Required,0.75,0.0,0,Low,green
KH-796/7,Sultanpur,NH-44 Expansion,Award Enquiry,2024-06-05,210,155,1,1,Pending,0.82,21.4,555,Critical,red
KH-448/2,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-04-29,247,118,0,0,Approved,0.4,0.0,61,Medium,yellow
KH-740/5,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-06-09,206,159,0,0,Not Required,0.93,0.0,4,Low,green
KH-643/1,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2024-12-08,24,341,0,1,Not Required,0.48,53.6,287,Critical,red
KH-878/9,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-01-15,352,13,1,0,Approved,0.73,0.0,141,High,red
KH-721/7,Kalyanpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-05-27,219,146,0,0,Pending,1.1,72.2,106,High,red
KH-353/4,Rampur,Dedicated Freight Corridor,Section 11 (Notice),2024-02-20,316,49,1,1,Pending,0.79,0.0,401,Critical,red
KH-334/2,Rampur,Dedicated Freight Corridor,Section 11 (Notice),2024-03-29,278,87,0,1,Not Required,0.57,0.0,335,Critical,red
KH-684/8,Kalyanpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-09-11,112,253,0,0,Not Required,0.47,72.8,63,Medium,yellow
KH-846/1,Fatehpur,NH-44 Expansion,Section 11 (Notice),2024-05-25,221,144,0,0,Pending,0.91,0.0,123,High,red
KH-294/9,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-09-15,108,257,0,0,Approved,0.59,46.2,38,Medium,yellow
KH-663/2,Rampur,NH-44 Expansion,Section 11 (Notice),2023-11-28,400,-35,0,0,Not Required,0.99,0.0,0,Low,green
KH-318/7,Rampur,Delhi-Amritsar Expressway,Award Enquiry,2024-12-16,16,349,1,0,Not Required,1.09,14.3,129,High,red
KH-848/9,Fatehpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-09-11,112,253,0,0,Approved,0.61,0.0,4,Low,green
KH-158/1,Sultanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-03-21,286,79,1,0,Not Required,0.51,100.0,162,High,green
KH-683/4,Sultanpur,NH-44 Expansion,Possession Taken,2024-11-06,56,309,0,0,Pending,0.69,100.0,99,High,green
KH-367/4,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-08-04,150,215,0,0,Not Required,0.68,0.0,6,Low,green
KH-423/2,Rampur,PMGSY Phase-3 Link Road,Possession Taken,2024-03-04,303,62,0,0,Approved,1.1,100.0,0,Low,green
KH-371/3,Bhatinda Khurd,NH-44 Expansion,Section 15 (Hearing),2024-06-11,204,161,0,1,Not Required,0.6,0.0,290,Critical,red
KH-726/9,Rampur,Dedicated Freight Corridor,Section 11 (Notice),2024-10-10,83,282,0,0,Approved,0.59,0.0,58,Medium,yellow
KH-388/4,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-01-01,366,-1,0,0,Not Required,0.84,0.0,0,Low,green
KH-966/1,Rampur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-11-25,37,328,0,0,Not Required,0.4,80.1,79,Medium,yellow
KH-674/1,Rampur,NH-44 Expansion,Section 15 (Hearing),2024-03-13,294,71,0,0,Approved,0.43,0.0,70,Medium,yellow
KH-230/1,Bhatinda Khurd,Dedicated Freight Corridor,Section 11 (Notice),2024-06-17,198,167,0,0,Pending,0.55,0.0,178,High,red
KH-735/3,Kalyanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-05-20,226,139,0,0,Approved,0.42,0.0,78,Medium,yellow
KH-785/4,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 11 (Notice),2024-06-05,210,155,0,0,Not Required,1.01,0.0,11,Low,green
KH-936/8,Bhatinda Khurd,Dedicated Freight Corridor,Section 15 (Hearing),2024-08-25,129,236,0,1,Pending,0.42,0.0,343,Critical,red
KH-891/5,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-07-01,184,181,0,0,Pending,1.06,100.0,80,Medium,green
KH-694/5,Rampur,NH-44 Expansion,Possession Taken,2024-05-09,237,128,0,1,Approved,0.64,100.0,226,Critical,green
KH-925/9,Fatehpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-05-11,235,130,1,1,Not Required,0.45,28.2,480,Critical,red
KH-407/9,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-05-25,221,144,0,0,Not Required,0.89,66.0,0,Low,green
KH-488/3,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2024-03-12,295,70,1,0,Not Required,0.98,15.6,111,High,red
KH-770/6,Mehrauli Dehat,PMGSY Phase-3 Link Road,Award Enquiry,2024-01-07,360,5,0,0,Not Required,0.55,60.8,60,Medium,yellow
KH-779/6,Rampur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-08-24,130,235,0,0,Pending,0.96,39.6,49,Medium,yellow
KH-970/2,Mehrauli Dehat,PMGSY Phase-3 Link Road,Possession Taken,2024-09-09,114,251,0,0,Approved,0.9,100.0,0,Low,green
KH-251/1,Shahpur,NH-44 Expansion,Award Enquiry,2024-08-27,127,238,0,1,Pending,0.52,92.3,436,Critical,red
KH-224/8,Kalyanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-03-06,301,64,0,0,Not Required,0.82,100.0,10,Low,green
KH-616/7,Shahpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-12-03,395,-30,0,0,Approved,1.0,0.0,0,Low,green
KH-960/5,Shahpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-07-30,155,210,0,0,Not Required,0.71,0.0,7,Low,green
KH-443/6,Sultanpur,NH-44 Expansion,Section 15 (Hearing),2024-10-01,92,273,1,0,Not Required,0.56,0.0,237,Critical,red
