project_id,project_name,district,state,latitude,longitude,land_area_acres,comp_offered_lakhs,comp_demanded_lakhs,litigation_cases,title_dispute_count,comp_disbursal_delay_months,public_objections_count,slao_officer_vacant,forest_clearance_status,env_clearance_status,delay_risk_label,source_portal
PRJ_MST_1001,Highway Project #1 (Andaman And Nicobar),Central Division,ANDAMAN AND NICOBAR,18.7633,78.7082,68.13,363.36,504.08,0,1,29,29,1,REJECTED,APPROVED,83.81,datafile 1-(a) data.gov.in.csv
PRJ_MST_1002,Freight Corridor Project #2 (Andhra Pradesh),Central Division,ANDHRA PRADESH,23.3507,81.6592,500.0,8000.0,13402.86,4,2,35,94,1,REJECTED,REJECTED,95.0,datafile 1-(a) data.gov.in.csv
PRJ_MST_1003,Power Grid Line Project #3 (Arunachal Pradesh),Central Division,ARUNACHAL PRADESH,22.7304,77.7472,500.0,8000.0,12527.98,6,1,24,16,1,PENDING,PENDING,95.0,datafile 1-(a) data.gov.in.csv
PRJ_MST_1004,Urban Transit Corridor Project #4 (Assam),Central Division,ASSAM,26.847,92.0976,500.0,8000.0,11994.63,4,0,15,74,0,APPROVED,PENDING,65.79,datafile 1-(a) data.gov.in.csv
PRJ_MST_1005,Industrial Zone Project #5 (Bihar),Central Division,BIHAR,27.4151,87.3201,500.0,8000.0,10224.07,0,1,18,19,0,APPROVED,APPROVED,36.67,datafile 1-(a) data.gov.in.csv
PRJ_MST_1006,Bulk Water Pipeline Project #6 (Chhattisgarh),Central Division,CHHATTISGARH,23.7738,77.3598,500.0,8000.0,10223.98,0,3,0,47,0,PENDING,APPROVED,47.24,datafile 1-(a) data.gov.in.csv
PRJ_MST_1007,Highway Project #7 (Goa),Central Division,GOA,20.0485,75.4043,233.0,1242.64,1527.26,6,1,4,72,0,APPROVED,APPROVED,56.02,datafile 1-(a) data.gov.in.csv
PRJ_MST_1008,Freight Corridor Project #8 (Gujarat),Central Division,GUJARAT,23.6853,76.1089,500.0,8000.0,13064.7,0,2,21,1,0,APPROVED,REJECTED,61.83,datafile 1-(a) data.gov.in.csv
PRJ_MST_1009,Power Grid Line Project #9 (Haryana),Central Division,HARYANA,21.5147,77.0172,500.0,8000.0,12004.46,7,1,23,36,0,APPROVED,PENDING,82.59,datafile 1-(a) data.gov.in.csv
PRJ_MST_1010,Urban Transit Corridor Project #10 (Himachal Pradesh),Central Division,HIMACHAL PRADESH,25.1661,79.7537,500.0,8000.0,12432.29,0,5,36,0,1,APPROVED,PENDING,88.54,datafile 1-(a) data.gov.in.csv
PRJ_MST_1011,Industrial Zone Project #11 (Jammu And Kashmir),Central Division,JAMMU AND KASHMIR,22.5062,81.9552,500.0,8000.0,9682.34,3,1,35,3,1,REJECTED,APPROVED,95.0,datafile 1-(a) data.gov.in.csv
PRJ_MST_1012,Bulk Water Pipeline Project #12 (Jharkhand),Central Division,JHARKHAND,19.1147,81.0442,500.0,8000.0,13479.64,7,5,35,99,0,APPROVED,REJECTED,95.0,datafile 1-(a) data.gov.in.csv
PRJ_MST_1013,Highway Project #13 (Karnataka),Central Division,KARNATAKA,22.3187,77.0306,500.0,8000.0,12929.77,7,1,3,53,0,PENDING,PENDING,81.86,datafile 1-(a) data.gov.in.csv
PRJ_MST_1014,Freight Corridor Project #14 (Kerala),Central Division,KERALA,25.5428,80.9887,500.0,8000.0,10449.36,6,0,35,24,1,APPROVED,APPROVED,83.98,datafile 1-(a) data.gov.in.csv
PRJ_MST_1015,Power Grid Line Project #15 (Ladakh),Central Division,LADAKH,23.5583,83.8047,500.0,7454.64,9623.29,2,1,17,2,0,APPROVED,APPROVED,43.94,datafile 1-(a) data.gov.in.csv
PRJ_MST_1016,Urban Transit Corridor Project #16 (Madhya Pradesh),Central Division,MADHYA PRADESH,22.9948,77.9563,500.0,8000.0,10333.62,2,3,15,8,1,APPROVED,APPROVED,60.7,datafile 1-(a) data.gov.in.csv
PRJ_MST_1017,Industrial Zone Project #17 (Maharashtra),Central Division,MAHARASHTRA,18.3215,73.9413,500.0,8000.0,10816.97,0,3,17,85,0,APPROVED,APPROVED,50.31,datafile 1-(a) data.gov.in.csv
PRJ_MST_1018,Bulk Water Pipeline Project #18 (Manipur),Central Division,MANIPUR,19.7475,79.1651,500.0,8000.0,11699.03,7,5,21,86,0,REJECTED,PENDING,95.0,datafile 1-(a) data.gov.in.csv
